Annotations,Speaker,Utterance
,%mor,pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art adj|other-Pos-S1 noun|doll~part|s noun|house .
,%gra,1|7|NSUBJ 2|7|COP 3|5|DET 4|5|AMOD 5|7|NMOD-POSS 6|5|CASE 7|7|ROOT 8|7|PUNCT
NOP,*CHI,"+"" hello baby ."
,%mor,intj|hello noun|baby .
,%gra,1|2|ROOT 2|1|OBJ 3|1|PUNCT
,%com,<1w> accompanied by kissing noises
,%exp,<1w> Male doll speaking to baby doll
NOP,*CHI,daddy comin(g) to pick you up .
,%mor,noun|daddy verb|come-Ger-S part|to verb|pick-Inf-S pron|you-Prs-Acc-S2 adp|up .
,%gra,1|6|ROOT 2|1|ACL 3|4|MARK 4|2|ADVCL 5|4|OBJ 6|4|COMPOUND-PRT 7|1|PUNCT
NOP,*CHI,hold daddy's hand .
,%mor,verb|hold-Fin-Imp-S noun|daddy~part|s noun|hand .
,%gra,1|4|ROOT 2|4|NMOD-POSS 3|2|CASE 4|1|OBJ 5|1|PUNCT
NOP,*CHI,going to daddy's .
,%mor,verb|go-Ger-S adp|to noun|daddy~part|s .
,%gra,1|4|ROOT 2|3|CASE 3|1|OBL 4|3|CASE 5|1|PUNCT
NOP,*CHI,she wants to bring her doll .
,%mor,pron|she-Prs-Nom-S3 verb|want-Fin-Ind-Pres-S3 part|to verb|bring-Inf-S pron|her-Prs-Gen-S3 noun|doll .
,%gra,1|2|NSUBJ 2|6|ROOT 3|4|MARK 4|2|XCOMP 5|6|NMOD-POSS 6|4|OBJ 7|2|PUNCT
NOP,*CHI,she's got a doll .
,%mor,pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|get-Part-Past-S det|a-Ind-Art noun|doll .
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|DET 5|3|OBJ 6|3|PUNCT
NOP,*CHI,she got doll at her grandma's .
,%mor,pron|she-Prs-Nom-S3 verb|get-Fin-Ind-Past-S3 noun|doll adp|at pron|her-Prs-Gen-S3 noun|grandma~part|s .
,%gra,1|2|NSUBJ 2|7|ROOT 3|2|OBJ 4|6|CASE 5|6|NMOD-POSS 6|2|OBL 7|6|CASE 8|2|PUNCT
,%xpho,<2w> forgot
NOP,*KAR,what are we going to do now ?
,%mor,pron|what-Int-S1 aux|be-Fin-Ind-Pres-P1 pron|we-Prs-Nom-P1 verb|go-Part-Pres-S part|to verb|do-Inf-S adv|now ?
,%gra,1|6|OBJ 2|4|AUX 3|4|NSUBJ 4|7|ROOT 5|6|MARK 6|4|XCOMP 7|6|ADVMOD 8|4|PUNCT
NOP,*CHI,her daddy hafta bring it tomorrow .
,%mor,pron|her-Prs-Gen-S3 noun|daddy noun|hafta verb|bring-Inf-S pron|it-Prs-Acc-S3 noun|tomorrow .
,%gra,1|3|NMOD-POSS 2|3|COMPOUND 3|4|NSUBJ 4|6|ROOT 5|4|OBJ 6|4|OBL-TMOD 7|4|PUNCT
,%com,Interrupted when Karen's brother came in
NOP,*CHI,what's she gonna do ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 part|gonna verb|do-Inf-S ?
,%gra,1|5|OBJ 2|5|AUX 3|5|NSUBJ 4|5|ADVMOD 5|5|ROOT 6|5|PUNCT
NOP,*CHI,you know what ?
,%mor,pron|you-Prs-Nom-S2 verb|know-Fin-Ind-Pres-S2 pron|what-Int-S1 ?
,%gra,1|2|NSUBJ 2|3|ROOT 3|2|OBJ 4|2|PUNCT
NOP,*CHI,Randy's home !
,%mor,noun|Randy~part|s noun|home !
,%gra,1|3|NMOD-POSS 2|1|CASE 3|3|ROOT 4|3|PUNCT
NOP,*RAN,wanna play the game ?
,%mor,intj|wanna verb|play-Fin-Imp-S det|the-Def-Art noun|game ?
,%gra,1|2|DISCOURSE 2|4|ROOT 3|4|DET 4|2|OBJ 5|2|PUNCT
NOP,*CHI,you gotta play with this one (o)kay .
,%mor,pron|you-Prs-Nom-S2 aux|gotta-Fin-S verb|play-Inf-S adp|with det|this-Def-Dem noun|one adj|okay-Pos-S1 .
,%gra,1|3|NSUBJ 2|3|AUX 3|7|ROOT 4|7|MARK 5|6|DET 6|7|NSUBJ 7|3|ADVCL 8|3|PUNCT
,%act,<aft> Gave him a peg from the game
NOP,*CHI,you win (.) you win .
,%mor,pron|you-Prs-Nom-S2 verb|win-Fin-Ind-Pres-S2 pron|you-Prs-Acc-S2 verb|win-Fin-Ind-Pres-S2 .
,%gra,1|2|NSUBJ 2|4|ROOT 3|2|OBJ 4|2|PARATAXIS 5|2|PUNCT
NOP,*CHI,wanna put these dolls away ?
,%mor,intj|wanna verb|put-Fin-Imp-S det|this-Def-Dem noun|doll-Plur adv|away ?
,%gra,1|2|DISCOURSE 2|5|ROOT 3|4|DET 4|2|OBJ 5|2|ADVMOD 6|2|PUNCT
NOP,*CHI,you gotta play with me .
,%mor,pron|you-Prs-Nom-S2 aux|gotta-Fin-S verb|play-Inf-S adp|with pron|I-Prs-Acc-S1 .
,%gra,1|3|NSUBJ 2|3|AUX 3|5|ROOT 4|5|CASE 5|3|OBL 6|3|PUNCT
,%xpho,<2w> dese
NOP,*KAR,why don't we all play ?
,%mor,adv|why aux|do-Fin-Ind-Pres-P1~part|not pron|we-Prs-Nom-P1 det|all-Def-Tot verb|play-Inf-S ?
,%gra,1|6|ADVMOD 2|6|AUX 3|6|ADVMOD 4|6|NSUBJ 5|4|DET 6|6|ROOT 7|6|PUNCT
NOP,*CHI,me too .
,%mor,pron|I-Prs-Acc-S1 adv|too .
,%gra,1|2|ROOT 2|1|ADVMOD 3|1|PUNCT
NOP,*CHI,look (.) five fifty dollars .
,%mor,verb|look-Fin-Imp-S num|five num|fifty noun|dollar-Plur .
,%gra,1|4|ROOT 2|3|COMPOUND 3|4|NUMMOD 4|1|OBJ 5|1|PUNCT
,%act,<1w> Showed a handful of play money from the game <aft> Putting her paper angel away
POL,*KAR,put it beside the tv okay ?
,%mor,verb|put-Fin-Imp-S pron|it-Prs-Acc-S3 adp|beside det|the-Def-Art noun|TV intj|okay ?
,%gra,1|6|ROOT 2|1|OBJ 3|5|CASE 4|5|DET 5|1|OBL 6|1|DISCOURSE 7|1|PUNCT
NOP,*CHI,right here ?
,%mor,adv|right adv|here ?
,%gra,1|2|ADVMOD 2|2|ROOT 3|2|PUNCT
,%act,Indicated the top
NOP,*KAR,beside the tv .
,%mor,adp|beside det|the-Def-Art noun|TV .
,%gra,1|3|CASE 2|3|DET 3|3|ROOT 4|3|PUNCT
NOP,*CHI,where ?
,%mor,adv|where ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*KAR,beside the tv .
,%mor,adp|beside det|the-Def-Art noun|TV .
,%gra,1|3|CASE 2|3|DET 3|3|ROOT 4|3|PUNCT
NOP,*CHI,like that ?
,%mor,adp|like pron|that-Dem-S1 ?
,%gra,1|2|CASE 2|2|ROOT 3|2|PUNCT
,%add,asked Randy regarding Karen
NOP,*CHI,you can have these .
,%mor,pron|you-Prs-Nom-S2 aux|can-Fin-S verb|have-Inf-S pron|this-Dem-P1 .
,%gra,1|3|NSUBJ 2|3|AUX 3|4|ROOT 4|3|OBJ 5|3|PUNCT
,%exp,<1w> Markers from the game
,%xpho,<4w> des
,%act,<1w> Put it on top
NOP,*CHI,are we gonna have soup for supper ?
,%mor,aux|be-Fin-Ind-Pres-P1 pron|we-Prs-Nom-P1 adv|gonna verb|have-Inf-S noun|soup adp|for noun|supper ?
,%gra,1|4|AUX 2|4|NSUBJ 3|4|ADVMOD 4|7|ROOT 5|4|OBJ 6|7|CASE 7|4|OBL 8|4|PUNCT
NOP,*CHI,are we gonna eat soup for supper ?
,%mor,aux|be-Fin-Ind-Pres-P1 pron|we-Prs-Nom-P1 adv|gonna verb|eat-Inf-S noun|soup adp|for noun|supper ?
,%gra,1|4|AUX 2|4|NSUBJ 3|4|ADVMOD 4|7|ROOT 5|4|OBJ 6|7|CASE 7|4|OBL 8|4|PUNCT
NOP,*CHI,does she live here ?
,%mor,aux|do-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 verb|live-Inf-S adv|here ?
,%gra,1|3|AUX 2|3|NSUBJ 3|4|ROOT 4|3|ADVMOD 5|3|PUNCT
NOP,*CHI,where does she sleep ?
,%mor,adv|where aux|do-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 verb|sleep-Inf-S ?
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|4|ROOT 5|4|PUNCT
NOP,*RAN,upstairs .
,%mor,noun|upstairs-Plur .
,%gra,1|1|ROOT 2|1|PUNCT
POL,*CHI,could I see ?
,%mor,aux|could-Fin-S pron|I-Prs-Nom-S1 verb|see-Inf-S ?
,%gra,1|3|AUX 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT
NOP,*KAR,push it in there .
,%mor,verb|push-Fin-Imp-S pron|it-Prs-Acc-S3 adp|in adv|there .
,%gra,1|4|ROOT 2|1|OBJ 3|4|CASE 4|1|OBL 5|1|PUNCT
NOP,*CHI,push it here right ?
,%mor,verb|push-Fin-Imp-S pron|it-Prs-Acc-S3 adv|here adv|right ?
,%gra,1|4|ROOT 2|1|OBJ 3|1|ADVMOD 4|1|ADVMOD 5|1|PUNCT
,%exp,Peg in board
NOP,*CHI,that goes inside here .
,%mor,pron|that-Dem-S1 verb|go-Fin-Ind-Pres-S3 adv|inside adv|here .
,%gra,1|2|NSUBJ 2|4|ROOT 3|2|ADVMOD 4|2|ADVMOD 5|2|PUNCT
NOP,*CHI,want me push this hard ?
,%mor,verb|want-Fin-Imp-S pron|I-Prs-Acc-S1 verb|push-Inf-S pron|this-Dem-S1 adv|hard ?
,%gra,1|5|ROOT 2|1|OBJ 3|1|XCOMP 4|3|OBJ 5|3|ADVMOD 6|1|PUNCT
NOP,*CHI,push this in here .
,%mor,verb|push-Fin-Imp-S pron|this-Dem-S1 adp|in adv|here .
,%gra,1|4|ROOT 2|1|OBJ 3|4|CASE 4|1|OBL 5|1|PUNCT
NOP,*CHI,what's this ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?
,%gra,1|3|NSUBJ 2|3|COP 3|3|ROOT 4|3|PUNCT
NOP,*KAR,it's to keep score .
,%mor,pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|to verb|keep-Inf-S noun|score .
,%gra,1|4|NSUBJ-OUTER 2|4|COP 3|4|MARK 4|5|ROOT 5|4|OBJ 6|4|PUNCT
NOP,*CHI,you gotta keep this in here .
,%mor,pron|you-Prs-Nom-S2 aux|gotta-Fin-S verb|keep-Inf-S pron|this-Dem-S1 adp|in adv|here .
,%gra,1|3|NSUBJ 2|3|AUX 3|6|ROOT 4|3|OBJ 5|6|CASE 6|3|OBL 7|3|PUNCT
NOP,*KAR,where's the box for the game Melissa ?
,%mor,adv|where~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|box adp|for det|the-Def-Art noun|game noun|Melissa ?
,%gra,1|8|ROOT 2|1|COP 3|4|DET 4|1|NSUBJ 5|7|CASE 6|7|DET 7|4|NMOD 8|7|APPOS 9|1|PUNCT
NOP,*CHI,where ?
,%mor,adv|where ?
,%gra,1|1|ROOT 2|1|PUNCT
,%gpx,Indicated it
NOP,*CHI,here ?
,%mor,adv|here ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*KAR,what color is this ?
,%mor,det|what-Def-Int noun|color aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?
,%gra,1|2|DET 2|4|NSUBJ 3|4|COP 4|4|ROOT 5|4|PUNCT
,%gpx,indicated red peg
NOP,*CHI,I don't know (.) red ?
,%mor,pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S adj|red-Pos-S1 ?
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|5|ROOT 5|4|ADVMOD 6|4|PUNCT
NOP,*KAR,where do you live Melissa ?
,%mor,adv|where aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|live-Inf-S noun|Melissa ?
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|5|ROOT 5|4|OBJ 6|4|PUNCT
NOP,*CHI,I live at my house .
,%mor,pron|I-Prs-Nom-S1 verb|live-Fin-Ind-Pres-S1 adp|at pron|my-Prs-Gen-S1 noun|house .
,%gra,1|2|NSUBJ 2|5|ROOT 3|5|CASE 4|5|NMOD-POSS 5|2|OBL 6|2|PUNCT
NOP,*KAR,where is your house ?
,%mor,adv|where aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|house ?
,%gra,1|4|ROOT 2|1|COP 3|4|NMOD-POSS 4|1|NSUBJ 5|1|PUNCT
NOP,*CHI,where's my house ?
,%mor,adv|where~aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 noun|house ?
,%gra,1|4|ROOT 2|1|COP 3|4|NMOD-POSS 4|1|NSUBJ 5|1|PUNCT
NOP,*CHI,right down Tecumseh .
,%mor,adv|right adp|down noun|Tecumseh .
,%gra,1|3|ADVMOD 2|3|CASE 3|3|ROOT 4|3|PUNCT
,%xpho,<3w> testSumski .
NOP,*CHI,where's your house ?
,%mor,adv|where~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|house ?
,%gra,1|4|ROOT 2|1|COP 3|4|NMOD-POSS 4|1|NSUBJ 5|1|PUNCT
NOP,*KAR,where's your mother ?
,%mor,adv|where~aux|be-Fin-Ind-Pres-S3 pron|your-Prs-Gen-S2 noun|mother ?
,%gra,1|4|ROOT 2|1|COP 3|4|NMOD-POSS 4|1|NSUBJ 5|1|PUNCT
NOP,*CHI,at work .
,%mor,adp|at noun|work .
,%gra,1|2|CASE 2|2|ROOT 3|2|PUNCT
NOP,*KAR,what's she doing there ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|she-Prs-Nom-S3 verb|do-Part-Pres-S adv|there ?
,%gra,1|4|OBJ 2|4|AUX 3|4|NSUBJ 4|5|ROOT 5|4|ADVMOD 6|4|PUNCT
NOP,*CHI,cause she wants to .
,%mor,sconj|cause pron|she-Prs-Nom-S3 verb|want-Fin-Ind-Pres-S3 part|to .
,%gra,1|3|MARK 2|3|NSUBJ 3|4|ROOT 4|3|XCOMP 5|3|PUNCT
NOP,*CHI,one for you .
,%mor,num|one adp|for pron|you-Prs-Acc-S2 .
,%gra,1|3|ROOT 2|3|CASE 3|1|NMOD 4|1|PUNCT
,%act,<1w> Gave me a peg
NOP,*KAR,what's on the bottom of your shoes ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 adp|on det|the-Def-Art noun|bottom adp|of pron|your-Prs-Gen-S2 noun|shoe-Plur ?
,%gra,1|2|NSUBJ 2|8|ROOT 3|5|CASE 4|5|DET 5|2|OBL 6|8|CASE 7|8|NMOD-POSS 8|5|NMOD 9|2|PUNCT
NOP,*CHI,these ?
,%mor,pron|this-Dem-P1 ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*KAR,yes .
,%mor,intj|yes .
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*CHI,ties .
,%mor,noun|tie-Plur .
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*KAR,what game ?
,%mor,det|what-Def-Int noun|game ?
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT
,%exp,asking which game do you want to play with
NOP,*CHI,this one .
,%mor,det|this-Def-Dem noun|one .
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT
NOP,*KAR,what's it called ?
,%mor,pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 verb|call-Part-Past-S ?
,%gra,1|4|OBJ 2|4|AUX-PASS 3|4|NSUBJ-PASS 4|4|ROOT 5|4|PUNCT
NOP,*CHI,your game .
,%mor,pron|your-Prs-Gen-S2 noun|game .
,%gra,1|2|NMOD-POSS 2|2|ROOT 3|2|PUNCT
NOP,*KAR,where did you get the game ?
,%mor,adv|where aux|do-Fin-Ind-Past-S2 pron|you-Prs-Nom-S2 verb|get-Inf-S det|the-Def-Art noun|game ?
,%gra,1|4|ADVMOD 2|4|AUX 3|4|NSUBJ 4|6|ROOT 5|6|DET 6|4|OBJ 7|4|PUNCT
NOP,*CHI,from his bedroom .
,%mor,adp|from pron|his-Prs-Gen-S3 noun|bedroom .
,%gra,1|3|CASE 2|3|NMOD-POSS 3|3|ROOT 4|3|PUNCT
,%gpx,Indicated Randy
NOP,*CHI,<are you gonna> [//] do you have Christmas trees here ?
,%mor,aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|have-Inf-S noun|Christmas noun|tree-Plur adv|here ?
,%gra,1|3|AUX 2|3|NSUBJ 3|6|ROOT 4|5|COMPOUND 5|3|OBJ 6|3|ADVMOD 7|3|PUNCT
NOP,*KAR,not yet .
,%mor,part|not adv|yet .
,%gra,1|2|ADVMOD 2|2|ROOT 3|2|PUNCT
NOP,*KAR,not in the house .
,%mor,part|not adp|in det|the-Def-Art noun|house .
,%gra,1|4|ADVMOD 2|4|CASE 3|4|DET 4|4|ROOT 5|4|PUNCT
NOP,*CHI,there's no one in the house ?
,%mor,pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 det|no-Def pron|one-Neg-S1 adp|in det|the-Def-Art noun|house ?
,%gra,1|2|EXPL 2|7|ROOT 3|4|DET 4|2|NSUBJ 5|7|CASE 6|7|DET 7|4|NMOD 8|2|PUNCT
NOP,*KAR,there's what ?
,%mor,pron|there-Int-S1~verb|be-Fin-Ind-Pres-S3 pron|what-Rel-S1 ?
,%gra,1|2|EXPL 2|3|ROOT 3|2|NSUBJ 4|2|PUNCT
NOP,*CHI,<there's no> [//] not one in the house .
,%mor,part|not num|one adp|in det|the-Def-Art noun|house .
,%gra,1|2|ADVMOD 2|5|ROOT 3|5|CASE 4|5|DET 5|2|NMOD 6|2|PUNCT
NOP,*KAR,what is Santa Claus going to bring you ?
,%mor,pron|what-Int-S1 aux|be-Fin-Ind-Pres-S3 noun|Santa noun|Claus verb|go-Part-Pres-S part|to verb|bring-Inf-S pron|you-Prs-Acc-S2 ?
,%gra,1|7|OBJ 2|5|AUX 3|5|NSUBJ 4|3|FLAT 5|8|ROOT 6|7|MARK 7|5|XCOMP 8|7|OBJ 9|5|PUNCT
NOP,*CHI,toys .
,%mor,noun|toy-Plur .
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*KAR,what kind ?
,%mor,det|what-Def-Int noun|kind ?
,%gra,1|2|DET 2|2|ROOT 3|2|PUNCT
NOP,*CHI,dolls (.) telephones .
,%mor,noun|doll-Plur noun|telephone-Plur .
,%gra,1|2|COMPOUND 2|2|ROOT 3|2|PUNCT
NOP,*KAR,0 [=! laughed] .
,%com,"laughed as she repeated Melissa's comment ""come over and party"""
NOP,*CHI,think that's funny ?
,%mor,verb|think-Fin-Imp-S pron|that-Dem-S1~aux|be-Fin-Ind-Pres-S3 adj|funny-Pos-S1 ?
,%gra,1|4|ROOT 2|4|NSUBJ 3|4|COP 4|1|CCOMP 5|1|PUNCT
NOP,*CHI,you're not gonna tell me (.) my mother okay ?
,%mor,pron|you-Prs-Nom-S2~aux|be-Fin-Ind-Pres-S2 part|not adv|gonna verb|tell-Inf-S pron|I-Prs-Acc-S1 pron|my-Prs-Gen-S1 noun|mother intj|okay ?
,%gra,1|5|NSUBJ 2|5|AUX 3|5|ADVMOD 4|5|ADVMOD 5|9|ROOT 6|5|IOBJ 7|8|NMOD-POSS 8|5|IOBJ 9|5|DISCOURSE 10|5|PUNCT
,%add,Randy
NOP,*KAR,Randy works where your mother works .
,%mor,noun|Randy verb|work-Fin-Ind-Pres-S3 adv|where pron|your-Prs-Gen-S2 noun|mother verb|work-Fin-Ind-Pres-S3 .
,%gra,1|2|NSUBJ 2|6|ROOT 3|6|ADVMOD 4|5|NMOD-POSS 5|6|NSUBJ 6|2|ADVCL 7|2|PUNCT
NOP,*CHI,do you work at the [/] the star ?
,%mor,aux|do-Fin-Ind-Pres-S2 pron|you-Prs-Nom-S2 verb|work-Inf-S adp|at det|the-Def-Art noun|star ?
,%gra,1|3|AUX 2|3|NSUBJ 3|6|ROOT 4|6|CASE 5|6|DET 6|3|OBL 7|3|PUNCT
NOP,*KAR,yes he does .
,%mor,intj|yes pron|he-Prs-Nom-S3 verb|do-Fin-Ind-Pres-S3 .
,%gra,1|3|DISCOURSE 2|3|NSUBJ 3|3|ROOT 4|3|PUNCT
NOP,*CHI,I saw you there .
,%mor,pron|I-Prs-Nom-S1 verb|see-Fin-Ind-Past-S1 pron|you-Prs-Acc-S2 adv|there .
,%gra,1|2|NSUBJ 2|4|ROOT 3|2|OBJ 4|2|ADVMOD 5|2|PUNCT
,%xpho,<2w> s&wned
NOP,*KAR,when ?
,%mor,adv|when ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*CHI,when I picked my mom up .
,%mor,adv|when pron|I-Prs-Nom-S1 verb|pick-Fin-Ind-Past-S1 pron|my-Prs-Gen-S1 noun|mom adv|up .
,%gra,1|3|ADVMOD 2|3|NSUBJ 3|6|ROOT 4|5|NMOD-POSS 5|3|OBJ 6|3|ADVMOD 7|3|PUNCT
NOP,*CHI,I'm gonna get a lots_of toys .
,%mor,pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adv|gonna verb|get-Inf-S det|a-Ind-Art noun|lotsof noun|toy-Plur .
,%gra,1|4|NSUBJ 2|4|AUX 3|4|ADVMOD 4|7|ROOT 5|7|DET 6|7|COMPOUND 7|4|OBJ 8|4|PUNCT
,%exp,<1w> for Christmas
,@End,
